Country Code,Country Name_x,Continent_x,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
MIC,Middle income,Global,13.4642732535637,14.218297777488,14.1903185815788,14.3435313152728,14.6477819392652,15.027122066821,15.3563548673084,16.1773379114935,16.758204214456,17.0232012900208,17.1422780912414,16.3470329816739,19.7343818280416,17.5109108727773,16.8930506502039
MKD,North Macedonia,Europe,56.757,55.15,55.234,55.201,54.146,52.379,53.755,47.745,48.957,47.26,46.409,35.481,35.537,36.147,34.905
MLI,Mali,Africa,2.255,2.247,2.236,2.236,2.248,2.216,2.174,2.158,2.142,2.233,2.322,2.347,6.737,4.19,4.489
MLT,Malta,Europe,11.673,14.558,13.273,13.351,13.831,12.726,11.681,11.614,10.674,10.544,9.058,9.323,10.891,9.508,8.273
MMR,Myanmar,Asia,1.585,1.596,1.602,1.616,1.615,1.599,1.588,1.595,2.526,3.6,1.851,1.322,4.964,17.510008582473837,16.488693677509787
MNA,Middle East & North Africa (excluding high income),Middle East,23.5601488393198,23.1093082789837,24.2088220286853,25.3852022510928,27.1394099645306,26.5518442981424,26.6803503712009,28.2102801802453,28.6830530377416,28.6487158072654,27.4730862443095,26.1465749435498,26.8756366259638,26.3573984592944,25.986581868965
MNE,Montenegro,Europe,31.909,35.682,36.705,37.043,44.066,41.847,36.027,37.741,36.1,31.892,29.66,25.355,36.333,30.322,28.259
MNG,Mongolia,Asia,9.722,10.071,14.608,10.326,8.386,10.61,11.99,12.751,20.188,17.476,16.459,16.091,15.882,17.435,19.371
MOZ,Mozambique,Africa,6.598,6.696,6.78,6.856,6.948,7.042,7.127,7.231,7.27,7.276,7.29,7.319,8.049,8.034,8.052
MRT,Mauritania,Africa,15.191,15.175,15.13,15.098,15.087,16.252,17.411,18.57,19.855,20.976,21.017,20.994,22.727,22.146,21.899
MUS,Mauritius,Africa,19.194,21.42,23.473,21.555,23.515,22.147,24.726,25.577,22.951,24.197,24.198,22.072,24.364,23.604,22.859
MWI,Malawi,Africa,6.832,6.816,6.817,6.819,6.822,6.764,6.793,6.853,6.887,6.902,6.933,6.958,8.09,7.745,7.73
MYS,Malaysia,Asia,10.611,11.527,11.305,9.877,10.461,10.295,9.967,11.261,11.097,11.611,11.736,11.27,12.613,12.442,11.7
NAC,North America,North America,12.6411579084247,17.3039973997585,18.0222213508172,16.974862418433,16.0333975567123,15.357089246351,13.4056664892843,11.7554817875666,10.6615664459471,9.46665247416784,8.84827531230252,8.62280425658743,15.3729983419293,10.0656787168379,8.09112811952013
NAM,Namibia,Africa,44.126,44.459,44.47,39.268,34.023,40.401,38.641,41.308,44.138,41.283,37.989,38.162,41.013,40.149,39.777
NCL,New Caledonia,Oceania,35.687,34.479,34.486,35.573,36.692,37.427,38.216,37.203,36.15,34.64,33.612,32.415,46.144,38.191,38.023
NER,Niger,Africa,3.124,2.213,1.27,0.47,3.86,2.315,0.67,0.694,0.713,0.735,0.753,0.776,1.04,0.868,0.708
NGA,Nigeria,Africa,9.619,9.616,9.63,9.676,9.789,9.828,10.298,10.817,11.344,11.742,12.159,12.588,14.352,13.649,13.442
NIC,Nicaragua,North America,9.91,12.853,12.344,10.192,8.114,8.934,8.384,8.81,7.394,6.334,10.003,10.106,11.674,11.273,10.71
NLD,Netherlands,Europe,8.577,10.206,11.077,10.015,11.706,13.17,12.74,11.237,10.822,8.858,7.171,6.747,9.129,9.592,7.789
NOR,Norway,Europe,7.484,9.175,9.277,8.612,8.424,9.093,7.828,9.89,11.126,10.337,9.665,9.927,11.294,12.5,9.644
NPL,Nepal,Asia,19.693,19.664,19.705,19.66,19.703,19.66,19.752,19.656,19.47,19.794,19.829,19.907,24.084,22.323,20.598
NZL,New Zealand,Oceania,11.465,16.828,17.52,17.623,18.076,15.332,14.123,13.917,13.525,13.014,11.844,11.327,12.435,10.471,9.228
